================================================================================
MARINE SOUND CATALOG — Galápagos Hydrophone Recordings
================================================================================

──────────────────────────────────────────────────────────────────────
FILE: 5783.040122170635.wav
  Unit: 5783  |  Recorded: 2004-01-22 17:06:35
  Segments: 121

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
   08:10-08:20  near-silence               ambient          Silence                    -0.032
   08:20-08:30  near-silence               ambient          Silence                    -0.032
   08:30-08:40  near-silence               ambient          Silence                    -0.035
   08:40-08:50  near-silence               ambient          Silence                    -0.033
   08:50-09:00  near-silence               ambient          Silence                    -0.035
   09:00-09:10  near-silence               ambient          Silence                    -0.037
   09:10-09:20  near-silence               ambient          Silence                    -0.033
   09:20-09:30  near-silence               ambient          Silence                    -0.033
   09:30-09:40  near-silence               ambient          Silence                    -0.032
   09:40-09:50  near-silence               ambient          Silence                    -0.036
   09:50-10:00  near-silence               ambient          Silence                    -0.036

──────────────────────────────────────────────────────────────────────
FILE: 6478.230725091251.wav
  Unit: 6478  |  Recorded: 2023-07-25 09:12:51
  Segments: 60

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
  ────────────  ─────────────────────────  ───────────────  ─────────────────────────  ──────
   00:00-00:10  vessel noise               unknown          Speech                     -0.996
   00:10-00:20  mixed soundscape           anthropogenic    Speech                     -0.997
   00:20-00:30  mixed soundscape           anthropogenic    Speech                     -0.996
   00:30-00:40  mixed soundscape           anthropogenic    Rowboat, canoe, kayak      -0.996
   00:40-00:50  mixed soundscape           anthropogenic    Speech                     -0.990
   00:50-01:00  near-silence               anthropogenic    Speech                     -0.986
   01:00-01:10  mixed soundscape           anthropogenic    Speech                     -0.993
   01:10-01:20  near-silence               anthropogenic    Speech                     -0.989
   01:20-01:30  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.978
   01:30-01:40  near-silence               anthropogenic    Speech                     -0.982
   01:40-01:50  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.986
   01:50-02:00  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.969
   02:00-02:10  near-silence               anthropogenic    Speech                     -0.988
   02:10-02:20  near-silence               anthropogenic    Speech                     -0.987
   02:20-02:30  near-silence               anthropogenic    Speech                     -0.984
   02:30-02:40  mixed soundscape           anthropogenic    Speech                     -0.997
   02:40-02:50  mixed soundscape           biological       Speech                     -0.993
   02:50-03:00  near-silence               anthropogenic    Speech                     -0.988
   03:00-03:10  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.987
   03:10-03:20  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.975
   03:20-03:30  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.983
   03:30-03:40  mixed soundscape           anthropogenic    Speech                     -0.993
   03:40-03:50  near-silence               anthropogenic    Speech                     -0.967
   03:50-04:00  near-silence               anthropogenic    Speech                     -0.987
   04:00-04:10  near-silence               anthropogenic    Rowboat, canoe, kayak      -0.987
   04:10-04:20  near-silence               anthropogenic    Speech                     -0.981
   04:20-04:30  mixed soundscape           anthropogenic    Rowboat, canoe, kayak      -0.990
   04:30-04:40  near-silence               anthropogenic    Speech                     -0.988
   04:40-04:50  mixed soundscape           anthropogenic    Speech                     -0.996
   04:50-05:00  mixed soundscape           anthropogenic    Speech                     -0.994
   05:00-05:10  mixed soundscape           anthropogenic    Speech                     -0.994
   05:10-05:20  mixed soundscape           anthropogenic    Speech                     -0.990
   05:20-05:30  mixed soundscape           anthropogenic    Vehicle                    -1.000
   05:30-05:40  mixed soundscape           anthropogenic    Vehicle                    -1.000
   05:40-05:50  mixed soundscape           anthropogenic    Vehicle                    -1.000
   05:50-06:00  mixed soundscape           anthropogenic    Vehicle                    -1.000
   06:00-06:10  mixed soundscape           anthropogenic    Vehicle                    -1.000
   06:10-06:20  mixed soundscape           anthropogenic    Vehicle                    -1.000
   06:20-06:30  mixed soundscape           anthropogenic    Vehicle                    -1.000
   06:30-06:40  vessel noise               anthropogenic    Vehicle                    -1.000
   06:40-06:50  vessel noise               anthropogenic    Vehicle                    -1.000
   06:50-07:00  vessel noise               anthropogenic    Vehicle                    -1.000
   07:00-07:10  vessel noise               anthropogenic    Vehicle                    -1.000
   07:10-07:20  vessel noise               anthropogenic    Vehicle                    -1.000
   07:20-07:30  vessel noise               anthropogenic    Vehicle                    -1.000
   07:30-07:40  vessel noise               anthropogenic    Vehicle                    -1.000
   07:40-07:50  vessel noise               anthropogenic    Vehicle                    -1.000
   07:50-08:00  vessel noise               biological       Heart sounds, heartbea     -1.000
   08:00-08:10  vessel noise               anthropogenic    Rumble                     -1.000
   08:10-08:20  vessel noise               anthropogenic    Rumble                     -1.000
   08:20-08:30  vessel noise               anthropogenic    Speech                     -1.000
   08:30-08:40  vessel noise               anthropogenic    Rumble                     -1.000
   08:40-08:50  vessel noise               anthropogenic    Speech                     -1.000
   08:50-09:00  vessel noise               anthropogenic    Vehicle                    -1.000
   09:00-09:10  vessel noise               anthropogenic    Vehicle                    -1.000
   09:10-09:20  vessel noise               anthropogenic    Vehicle                    -1.000
   09:20-09:30  vessel noise               anthropogenic    Vehicle                    -1.000
   09:30-09:40  vessel noise               anthropogenic    Vehicle                    -1.000
   09:40-09:50  vessel noise               anthropogenic    Rumble                     -1.000
   09:50-10:00  vessel noise               anthropogenic    Vehicle                    -1.000

──────────────────────────────────────────────────────────────────────
FILE: 6478.230726131251.wav
  Unit: 6478  |  Recorded: 2023-07-26 13:12:51
  Segments: 60

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
  ────────────  ─────────────────────────  ───────────────  ─────────────────────────  ──────
   00:00-00:10  vessel noise               unknown          Speech                     -0.989
   00:10-00:20  mixed soundscape           anthropogenic    Speech                     -1.000
   00:20-00:30  mixed soundscape           ambient          Speech                     -1.000
   00:30-00:40  mixed soundscape           biological       Speech                     -1.000
   00:40-00:50  mixed soundscape           biological       Speech                     -1.000
   00:50-01:00  mixed soundscape           biological       Speech                     -1.000
   01:00-01:10  mixed soundscape           ambient          Speech                     -1.000
   01:10-01:20  mixed soundscape           biological       Speech                     -1.000
